,Open,High,Low,Close,Volume,Forcast
2022-01-05,77.18000030517578,78.58000183105469,76.51000213623047,77.8499984741211,397898.0,
2022-01-06,77.23999786376953,80.23999786376953,76.7300033569336,79.45999908447266,476665.0,
2022-01-07,79.62000274658203,80.47000122070312,78.5199966430664,78.9000015258789,414434.0,
2022-01-10,78.87999725341797,79.44999694824219,77.83000183105469,78.2300033569336,389956.0,
2022-01-11,78.41999816894531,81.58999633789062,78.36000061035156,81.22000122070312,481815.0,
2022-01-12,81.37999725341797,83.0999984741211,81.16999816894531,82.63999938964844,420619.0,
2022-01-13,82.81999969482422,82.94000244140625,81.38999938964844,82.12000274658203,364769.0,
2022-01-14,81.7300033569336,84.44999694824219,81.58000183105469,83.81999969482422,364442.0,
2022-01-18,84.31999969482422,86.62999725341797,83.5,85.43000030517578,163643.0,
2022-01-19,86.61000061035156,87.91000366210938,85.7699966430664,86.95999908447266,113153.0,
2022-01-20,86.2300033569336,87.81999969482422,86.0,86.9000015258789,532202.0,
2022-01-21,84.56999969482422,85.55999755859375,82.77999877929688,85.13999938964844,509103.0,
2022-01-24,84.91000366210938,86.08999633789062,81.9000015258789,83.30999755859375,511695.0,
2022-01-25,84.1500015258789,85.70999908447266,82.98999786376953,85.5999984741211,507219.0,
2022-01-26,85.26000213623047,87.94999694824219,85.01000213623047,87.3499984741211,459642.0,
2022-01-27,87.1500015258789,88.54000091552734,86.19999694824219,86.61000061035156,427804.0,
2022-01-28,87.5,88.83999633789062,86.44000244140625,86.81999969482422,436172.0,
2022-01-31,87.44999694824219,88.38999938964844,86.33999633789062,88.1500015258789,359080.0,
2022-02-01,88.1500015258789,88.87000274658203,86.55000305175781,88.19999694824219,376841.0,
2022-02-02,88.3499984741211,89.72000122070312,87.0999984741211,88.26000213623047,456863.0,
2022-02-03,87.9800033569336,90.4499969482422,86.75,90.2699966430664,465771.0,
2022-02-04,90.19000244140624,93.16999816894531,90.06999969482422,92.30999755859376,410926.0,
2022-02-07,91.81999969482422,92.7300033569336,90.7300033569336,91.31999969482422,497754.0,
2022-02-08,91.63999938964844,91.68000030517578,88.51000213623047,89.36000061035156,467386.0,
2022-02-09,89.86000061035156,90.58000183105469,88.41000366210938,89.66000366210938,445618.0,
2022-02-10,90.01000213623047,91.73999786376952,89.02999877929688,89.87999725341797,492091.0,
2022-02-11,90.0,94.66000366210938,89.19000244140625,93.0999984741211,554423.0,
2022-02-14,93.91000366210938,95.81999969482422,92.08999633789062,95.45999908447266,467071.0,
2022-02-15,94.83000183105469,95.16999816894531,90.66000366210938,92.06999969482422,442641.0,
2022-02-16,92.20999908447266,95.01000213623048,90.0,93.66000366210938,401453.0,
2022-02-17,90.9000015258789,93.36000061035156,90.62000274658205,91.76000213623048,212552.0,
2022-02-18,91.62999725341795,92.66000366210938,89.02999877929688,91.06999969482422,150382.0,
2022-02-22,91.75,96.0,90.3499984741211,92.3499984741211,789041.0,
2022-02-23,91.73999786376952,93.9000015258789,90.63999938964844,92.0999984741211,440574.0,
2022-02-24,92.5199966430664,100.54000091552734,91.4499969482422,92.80999755859376,872244.0,
2022-02-25,93.31999969482422,95.63999938964844,90.05999755859375,91.58999633789062,523793.0,
2022-02-28,94.98999786376952,99.0999984741211,94.43000030517578,95.72000122070312,490796.0,
2022-03-01,96.08999633789062,106.77999877929688,95.31999969482422,103.41000366210938,698814.0,
2022-03-02,107.12000274658205,112.51000213623048,105.18000030517578,110.5999984741211,651853.0,
2022-03-03,111.33000183105469,116.56999969482422,106.43000030517578,107.66999816894531,592031.0,
2022-03-04,107.95999908447266,116.0199966430664,107.25,115.68000030517578,493875.0,
2022-03-07,121.33000183105469,130.5,115.54000091552734,119.4000015258789,576022.0,
2022-03-08,120.66999816894531,129.44000244140622,117.06999969482422,123.6999969482422,583106.0,
2022-03-09,124.66000366210938,126.83999633789062,103.62999725341795,108.6999969482422,594773.0,
2022-03-10,110.41000366210938,114.87999725341795,105.52999877929688,106.0199966430664,437924.0,
2022-03-11,105.98999786376952,110.29000091552734,104.4800033569336,109.33000183105469,368194.0,
2022-03-14,109.41999816894531,109.72000122070312,99.76000213623048,103.01000213623048,344184.0,
2022-03-15,102.27999877929688,102.58000183105469,93.52999877929688,96.44000244140624,401690.0,
2022-03-16,95.2300033569336,99.22000122070312,94.06999969482422,95.04000091552734,293947.0,
2022-03-17,95.33999633789062,104.23999786376952,94.8499984741211,102.9800033569336,210763.0,
2022-03-18,103.62000274658205,106.27999877929688,102.3000030517578,104.6999969482422,74247.0,
2022-03-21,105.12999725341795,112.69000244140624,104.08000183105469,112.12000274658205,77217.0,
2022-03-22,112.9000015258789,115.01000213623048,109.3000030517578,111.76000213623048,318629.0,
2022-03-23,108.8499984741211,115.4000015258789,108.37999725341795,114.93000030517578,289182.0,
2022-03-24,114.47000122070312,116.63999938964844,110.61000061035156,112.33999633789062,307238.0,
2022-03-25,111.75,114.12000274658205,108.68000030517578,113.9000015258789,320304.0,
2022-03-28,112.91999816894531,112.93000030517578,102.83000183105469,105.95999908447266,372251.0,
2022-03-29,103.47000122070312,107.83999633789062,98.44000244140624,104.23999786376952,387200.0,
2022-03-30,105.23999786376952,108.75,104.5500030517578,107.81999969482422,284544.0,
2022-03-31,107.4499969482422,107.8000030517578,99.66000366210938,100.27999877929688,450845.0,
2022-04-01,101.2300033569336,101.75,97.77999877929688,99.2699966430664,324777.0,
2022-04-04,98.9499969482422,103.94000244140624,98.0500030517578,103.27999877929688,288131.0,
2022-04-05,103.66000366210938,105.58999633789062,99.87999725341795,101.95999908447266,280283.0,
2022-04-06,101.23999786376952,104.0199966430664,95.7300033569336,96.2300033569336,366036.0,
2022-04-07,97.16000366210938,98.81999969482422,93.80999755859376,96.02999877929688,367318.0,
2022-04-08,97.16999816894531,98.76000213623048,95.29000091552734,98.26000213623048,310082.0,
2022-04-11,98.4000015258789,98.5199966430664,92.93000030517578,94.29000091552734,315873.0,
2022-04-12,95.16999816894531,101.3499984741211,94.83999633789062,100.5999984741211,329037.0,
2022-04-13,100.91000366210938,104.47000122070312,99.87000274658205,104.25,312502.0,
2022-04-14,104.1999969482422,107.63999938964844,102.12000274658205,106.9499969482422,244952.0,
2022-04-18,107.02999877929688,109.80999755859376,106.0,108.20999908447266,68489.0,
2022-04-19,107.75,108.91999816894531,102.0999984741211,102.55999755859376,71792.0,
2022-04-20,103.0500030517578,104.16000366210938,100.6999969482422,102.75,299028.0,
2022-04-21,102.5,105.41999816894531,102.01000213623048,103.79000091552734,280321.0,
2022-04-22,104.06999969482422,104.22000122070312,101.05999755859376,102.06999969482422,246116.0,
2022-04-25,101.37999725341795,101.5500030517578,95.27999877929688,98.54000091552734,328153.0,
2022-04-26,98.63999938964844,102.77999877929688,97.05999755859376,101.6999969482422,351850.0,
2022-04-27,101.76000213623048,102.98999786376952,99.8000030517578,102.0199966430664,278781.0,
2022-04-28,102.11000061035156,105.68000030517578,100.12999725341795,105.36000061035156,312064.0,
2022-04-29,105.16999816894531,107.98999786376952,103.77999877929688,104.69000244140624,294386.0,
2022-05-02,104.0,105.94000244140624,100.27999877929688,105.16999816894531,261878.0,
2022-05-03,105.08000183105469,105.8000030517578,102.0999984741211,102.41000366210938,239266.0,
2022-05-04,103.5,108.61000061035156,102.9499969482422,107.80999755859376,272909.0,
2022-05-05,107.58000183105469,111.37000274658205,106.4499969482422,108.26000213623048,286916.0,
2022-05-06,108.6999969482422,111.18000030517578,107.23999786376952,109.7699966430664,294278.0,
2022-05-09,110.43000030517578,110.48999786376952,102.12999725341795,103.08999633789062,368183.0,
2022-05-10,102.6500015258789,104.16000366210938,98.86000061035156,99.76000213623048,389750.0,
2022-05-11,99.0,106.44000244140624,98.1999969482422,105.70999908447266,382701.0,
2022-05-12,105.62999725341795,107.37000274658205,102.66000366210938,106.12999725341795,323547.0,
2022-05-13,106.6500015258789,110.63999938964844,106.29000091552734,110.48999786376952,240989.0,
2022-05-16,110.9800033569336,114.9000015258789,108.11000061035156,114.1999969482422,289127.0,
2022-05-17,113.87000274658205,115.55999755859376,111.75,112.4000015258789,252630.0,
2022-05-18,113.66000366210938,115.41999816894531,108.45999908447266,109.58999633789062,103669.0,
2022-05-19,109.08999633789062,112.62000274658205,105.12999725341795,112.20999908447266,68511.0,
2022-05-20,111.4499969482422,114.04000091552734,110.8499984741211,113.2300033569336,229930.0,
2022-05-23,110.55999755859376,111.95999908447266,109.1500015258789,110.29000091552734,215623.0,
